id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35076266,Comfortable 2-Room Apartment - 1.5km of the Center,43869200,Mehetab Alam,,Schwanthalerhöhe,48.13388,11.54195,Entire home/apt,75,13,4,2022-07-20,0.09,1,0,2,
34704981,Gemütliches Zimmer im Herzen Schwabings,261763416,Alena,,Schwabing-Freimann,48.1657802,11.5899686,Shared room,200,1,0,,,1,365,0,
35106492,Modern 2 room appartment close to city centre,5395138,Kristina,,Untergiesing-Harlaching,48.09705,11.56811,Entire home/apt,143,1,7,2022-10-13,0.17,1,8,1,
35106730,CENTRAL AND QUIET APARTMENT IN MUNICH,264431566,Susanne,,Schwabing-Freimann,48.16506,11.58127,Entire home/apt,78,2,3,2019-07-02,0.07,1,0,0,
34762968,Minimalist modern perfectly located 2 BR flat,2710946,Severina,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.07636,11.52554,Entire home/apt,110,4,2,2021-11-01,0.05,1,0,0,
35114146,Neubauwohnung mit 2 Schlafzimmern,205832270,K Eins Mysecondhome De,,Ramersdorf-Perlach,48.11174,11.617343,Entire home/apt,999,25,1,2020-07-31,0.03,33,0,0,
35114416,Top Apartment in Neubauobjekt,205832270,K Eins Mysecondhome De,,Ramersdorf-Perlach,48.11174,11.617343,Entire home/apt,999,25,20,2021-12-06,0.48,33,0,0,
35120894,Munich Spacious & Comfy Camper Langwieder See,212446742,Marcela,,Aubing-Lochhausen-Langwied,48.19961,11.40985,Entire home/apt,90,4,0,,,3,0,0,
35130058,Lovely appartment in Munich - Schwabing,40781896,Ivan,,Schwabing-West,48.17643737792969,11.58066463470459,Entire home/apt,154,2,9,2022-08-21,0.21,1,10,4,
35138496,Whg im Zentrum 3 min zu Fuß zum Oktoberfest .,88081186,Dino,,Ludwigsvorstadt-Isarvorstadt,48.13673,11.55209,Private room,60,2,3,2019-09-27,0.07,1,0,0,
